t,Pd,G[1],G[2],H[1],H[2],Gerado,Corte
0,1200,389.9999999999999,190.00000000000045,119.99999999999979,499.99999999999994,580.0000000000003,-5.684341886080802e-14
1,1500,409.9999999999999,340.0000000000004,249.99999999999997,499.99999999999994,750.0000000000002,-3.979039320256561e-13
2,1400,429.9999999999999,350.0000000000003,119.99999999999999,499.99999999999994,780.0000000000002,-1.7053025658242404e-13
3,1700,449.99999999999994,500.0000000000003,249.99999999999997,499.99999999999994,950.0000000000002,-1.7053025658242404e-13
